uniqueid,plotid,date,year,method,subsample,position,co2_c_flux_kg_ha_day,co2_r2,n2o_n_flux_g_ha_day,n2o_r2,nh3_n_flux_g_ha_day,nh3_r2,ch4_c_flux_g_ha_day,ch4_r2,soil_moisture_5cm,soil_temperature_5cm,soil_nitrate_n_0_10cm,soil_ammonium_n_0_10cm,month,day_of_year,quarter,is_growing_season,season
ARL,104.0,2012-04-13,2012.0,GC,1.0,on_fert_band,2.542538059,0.976891725,0.412715,0.958888,,,3.94265,0.980252,28.5,8.1,,,4,104,2,1,spring
ARL,104.0,2012-04-13,2012.0,GC,1.0,off_fert_band,1.158410436,0.96885169,0.130265,0.93818,,,-0.735235,0.241869,21.4,7.8,,,4,104,2,1,spring
ARL,105.0,2012-04-13,2012.0,GC,1.0,on_fert_band,1.74194406,0.955956106,-0.0343291,0.444713,,,0.219669,0.343372,23.1,8.1,,,4,104,2,1,spring
ARL,105.0,2012-04-13,2012.0,GC,1.0,off_fert_band,1.013379314,0.872951592,0.135261,0.994236,,,-0.447168,0.449652,25.7,8.3,,,4,104,2,1,spring
ARL,111.0,2012-04-13,2012.0,GC,1.0,on_fert_band,-0.721987363,0.997852792,0.0366962,0.335125,,,0.429143,0.939323,22.7,8.0,,,4,104,2,1,spring
ARL,111.0,2012-04-13,2012.0,GC,1.0,off_fert_band,4.168980221,0.999676126,0.0717742,0.896333,,,-2.89639,0.99636,16.9,7.9,,,4,104,2,1,spring
ARL,113.0,2012-04-13,2012.0,GC,1.0,off_fert_band,1.310575992,0.911662931,0.207222,0.853087,,,-0.815164,0.865269,31.1,6.8,,,4,104,2,1,spring
ARL,113.0,2012-04-13,2012.0,GC,1.0,on_fert_band,6.169923276,0.999526744,1.07139,0.998621,,,-3.95861,0.910675,24.5,7.1,,,4,104,2,1,spring
ARL,114.0,2012-04-13,2012.0,GC,1.0,on_fert_band,0.083881043,0.791822304,0.378636,0.849451,,,0.635491,0.30453,25.5,7.7,,,4,104,2,1,spring
ARL,114.0,2012-04-13,2012.0,GC,1.0,off_fert_band,0.605967238,0.971620638,0.189161,0.922028,,,2.33461,0.939464,15.5,7.5,,,4,104,2,1,spring
ARL,203.0,2012-04-13,2012.0,GC,1.0,off_fert_band,6.478059202,0.954095521,1.81356,0.892233,,,-2.877,0.70737,17.1,8.0,,,4,104,2,1,spring
ARL,203.0,2012-04-13,2012.0,GC,1.0,on_fert_band,0.028226092,0.878816899,-0.0322505,0.836729,,,-0.563419,0.878167,28.3,7.4,,,4,104,2,1,spring
ARL,204.0,2012-04-13,2012.0,GC,1.0,off_fert_band,4.59468126,0.989375839,1.38049,0.9931,,,3.67691,0.9667,26.1,6.6,,,4,104,2,1,spring
ARL,204.0,2012-04-13,2012.0,GC,1.0,on_fert_band,5.338156891,0.99812508,1.22927,0.950845,,,-4.63606,0.813847,29.1,7.0,,,4,104,2,1,spring
ARL,205.0,2012-04-13,2012.0,GC,1.0,off_fert_band,-1.223879773,0.982457548,1.23879,0.99365,,,1.48234,0.973149,23.6,7.8,,,4,104,2,1,spring
ARL,205.0,2012-04-13,2012.0,GC,1.0,on_fert_band,-0.665246187,0.671952595,1.16145,0.99251,,,-1.42011,0.80096,25.6,8.0,,,4,104,2,1,spring
ARL,206.0,2012-04-13,2012.0,GC,1.0,off_fert_band,3.791059577,0.914711701,0.488794,0.955702,,,1.09465,0.61972,26.6,7.4,,,4,104,2,1,spring
ARL,206.0,2012-04-13,2012.0,GC,1.0,on_fert_band,2.292742142,0.753701851,0.581005,0.998325,,,2.63708,0.987427,29.0,7.5,,,4,104,2,1,spring
ARL,207.0,2012-04-13,2012.0,GC,1.0,on_fert_band,9.5479197,0.958268513,1.60846,0.896181,,,0.0261552,0.670557,27.0,7.0,,,4,104,2,1,spring
ARL,207.0,2012-04-13,2012.0,GC,1.0,off_fert_band,6.818239877,0.784842907,1.92097,0.975175,,,-0.907826,0.860467,18.0,7.4,,,4,104,2,1,spring
ARL,214.0,2012-04-13,2012.0,GC,1.0,on_fert_band,2.042316655,0.925683131,0.729781,0.798119,,,2.39333,0.932044,22.3,7.9,,,4,104,2,1,spring
ARL,214.0,2012-04-13,2012.0,GC,1.0,off_fert_band,1.602045199,0.978899413,0.435058,0.995487,,,1.16718,0.816103,31.8,7.1,,,4,104,2,1,spring
ARL,301.0,2012-04-13,2012.0,GC,1.0,on_fert_band,0.402845736,0.789074008,0.0677028,0.396903,,,-0.996496,0.782735,27.9,7.6,,,4,104,2,1,spring
ARL,301.0,2012-04-13,2012.0,GC,1.0,off_fert_band,10.14920669,0.998969091,3.07763,0.98584,,,-5.24725,0.998964,17.5,7.6,,,4,104,2,1,spring
ARL,302.0,2012-04-13,2012.0,GC,1.0,off_fert_band,0.479345401,0.995462377,1.50376,0.997916,,,0.254269,0.129044,14.5,8.2,,,4,104,2,1,spring
ARL,302.0,2012-04-13,2012.0,GC,1.0,on_fert_band,2.039603018,0.802271404,3.5883,0.914526,,,,,27.1,7.9,,,4,104,2,1,spring
ARL,304.0,2012-04-13,2012.0,GC,1.0,on_fert_band,6.48317665,0.995302006,2.04592,0.997717,,,-4.33645,0.963006,28.4,7.1,,,4,104,2,1,spring
ARL,304.0,2012-04-13,2012.0,GC,1.0,off_fert_band,0.984526831,0.851041315,0.392576,0.909362,,,-0.262158,0.999999,26.3,7.8,,,4,104,2,1,spring
ARL,305.0,2012-04-13,2012.0,GC,1.0,off_fert_band,7.54141434,0.986248542,2.71075,0.987617,,,-2.32122,0.937841,23.7,7.6,,,4,104,2,1,spring
ARL,305.0,2012-04-13,2012.0,GC,1.0,on_fert_band,2.821674912,0.976797725,0.509436,0.951628,,,-3.07601,0.99684,16.9,7.7,,,4,104,2,1,spring
ARL,308.0,2012-04-13,2012.0,GC,1.0,on_fert_band,10.62719804,0.944642247,3.43813,0.851709,,,-2.9784,0.984383,25.8,7.9,,,4,104,2,1,spring
ARL,308.0,2012-04-13,2012.0,GC,1.0,off_fert_band,2.386297464,0.967200158,0.105133,0.716995,,,-0.619114,0.971602,26.2,7.6,,,4,104,2,1,spring
ARL,309.0,2012-04-13,2012.0,GC,1.0,off_fert_band,2.568398762,0.891541786,0.200286,0.826734,,,0.346067,0.0511404,25.7,7.3,,,4,104,2,1,spring
ARL,309.0,2012-04-13,2012.0,GC,1.0,on_fert_band,14.66547559,0.87610945,3.78428,0.982174,,,-4.07368,0.92864,27.6,7.0,,,4,104,2,1,spring
ARL,101.0,2012-04-20,2012.0,GC,1.0,off_fert_band,-1.839470433,0.994966265,1.78211,0.987105,,,-5.20247,0.950042,42.3,6.3,,,4,111,2,1,spring
ARL,101.0,2012-04-20,2012.0,GC,1.0,on_fert_band,2.046936207,0.970569377,1.55366,0.999999,,,-2.65751,0.949289,38.8,6.2,,,4,111,2,1,spring
ARL,104.0,2012-04-20,2012.0,GC,1.0,off_fert_band,0.710615489,0.999896429,0.772901,0.982798,,,-0.133886,0.0591415,42.8,5.8,,,4,111,2,1,spring
ARL,104.0,2012-04-20,2012.0,GC,1.0,on_fert_band,1.277432897,0.794231714,0.442968,0.848832,,,-2.63282,0.454267,39.3,5.8,,,4,111,2,1,spring
ARL,105.0,2012-04-20,2012.0,GC,1.0,off_fert_band,-0.220546401,0.9968948,0.235129,0.879636,,,-5.68321,0.97086,39.3,5.8,,,4,111,2,1,spring
ARL,105.0,2012-04-20,2012.0,GC,1.0,on_fert_band,3.574734324,0.952847453,0.691336,0.949875,,,-3.64412,0.931504,37.5,5.9,,,4,111,2,1,spring
ARL,111.0,2012-04-20,2012.0,GC,1.0,on_fert_band,11.63935539,0.953995048,4.85932,0.931468,,,-6.28422,0.858996,38.1,5.9,,,4,111,2,1,spring
ARL,111.0,2012-04-20,2012.0,GC,1.0,off_fert_band,7.864302403,0.996418552,1.11299,0.973668,,,-0.8297,0.565513,42.9,5.8,,,4,111,2,1,spring
ARL,113.0,2012-04-20,2012.0,GC,1.0,off_fert_band,8.675866865,0.954228196,4.05423,0.854889,,,-0.222178,0.0682312,37.5,6.1,,,4,111,2,1,spring
ARL,113.0,2012-04-20,2012.0,GC,1.0,on_fert_band,4.53583543,0.952721539,1.28017,0.765834,,,-2.08323,0.978912,33.9,6.1,,,4,111,2,1,spring
ARL,114.0,2012-04-20,2012.0,GC,1.0,off_fert_band,4.753613069,0.999627747,1.36819,0.97646,,,0.045648,0.010969,41.2,5.9,,,4,111,2,1,spring
ARL,114.0,2012-04-20,2012.0,GC,1.0,on_fert_band,-0.392026359,0.998884245,0.228065,0.847756,,,0.91002,0.515488,39.5,6.2,,,4,111,2,1,spring
ARL,203.0,2012-04-20,2012.0,GC,1.0,off_fert_band,4.501836494,0.988848672,1.09255,0.981017,,,-1.39702,0.874023,42.0,5.9,,,4,111,2,1,spring
ARL,203.0,2012-04-20,2012.0,GC,1.0,on_fert_band,-0.009373053,0.000169743,0.646601,0.900611,,,-2.74649,0.650046,39.8,5.8,,,4,111,2,1,spring
ARL,204.0,2012-04-20,2012.0,GC,1.0,off_fert_band,0.291756751,0.959905483,0.352954,0.978982,,,8.14376,0.989752,44.5,6.1,,,4,111,2,1,spring
ARL,204.0,2012-04-20,2012.0,GC,1.0,on_fert_band,2.755957274,0.888032768,1.9476,0.994704,,,-3.84379,0.835936,37.5,6.3,,,4,111,2,1,spring
ARL,205.0,2012-04-20,2012.0,GC,1.0,on_fert_band,5.822222071,0.979918268,1.72498,0.935518,,,-3.34023,0.810668,42.4,6.5,,,4,111,2,1,spring
ARL,205.0,2012-04-20,2012.0,GC,1.0,off_fert_band,-4.12154106,0.996076669,11.4188,0.961138,,,-5.60189,0.980598,40.4,6.8,,,4,111,2,1,spring
ARL,206.0,2012-04-20,2012.0,GC,1.0,off_fert_band,1.582640027,0.988141836,0.237793,0.809312,,,1.7161,0.713765,39.7,6.0,,,4,111,2,1,spring
ARL,206.0,2012-04-20,2012.0,GC,1.0,on_fert_band,2.316089098,0.887340816,0.719148,0.793326,,,0.0897833,0.031869,40.7,5.8,,,4,111,2,1,spring
ARL,207.0,2012-04-20,2012.0,GC,1.0,off_fert_band,7.633481863,0.946282975,2.37565,0.810016,,,1.47344,0.998922,42.8,5.9,,,4,111,2,1,spring
ARL,207.0,2012-04-20,2012.0,GC,1.0,on_fert_band,2.464530958,0.991758376,0.51066,0.86823,,,-2.81662,0.954318,41.8,5.8,,,4,111,2,1,spring
ARL,214.0,2012-04-20,2012.0,GC,1.0,on_fert_band,3.638460982,0.954349575,1.89485,0.903143,,,-3.2529,0.925199,35.6,6.1,,,4,111,2,1,spring
ARL,214.0,2012-04-20,2012.0,GC,1.0,off_fert_band,0.893759779,0.907913452,0.155145,0.910085,,,-3.11859,0.923411,44.3,6.4,,,4,111,2,1,spring
ARL,301.0,2012-04-20,2012.0,GC,1.0,off_fert_band,12.80348181,0.998984148,5.93541,0.992931,,,-0.751964,0.895847,44.2,5.3,,,4,111,2,1,spring
ARL,301.0,2012-04-20,2012.0,GC,1.0,on_fert_band,3.739662168,0.960245869,2.05558,0.975101,,,0.207342,0.892755,40.6,5.7,,,4,111,2,1,spring
ARL,302.0,2012-04-20,2012.0,GC,1.0,on_fert_band,3.675682951,0.873085266,12.7631,0.993148,,,1.53124,0.999445,40.8,6.8,,,4,111,2,1,spring
ARL,302.0,2012-04-20,2012.0,GC,1.0,off_fert_band,-2.235722318,0.997281869,5.16927,0.963294,,,-1.23086,0.788674,37.9,6.9,,,4,111,2,1,spring
ARL,304.0,2012-04-20,2012.0,GC,1.0,off_fert_band,10.08619979,0.967411275,3.54169,0.843232,,,-0.487612,0.999626,40.3,6.2,,,4,111,2,1,spring
ARL,304.0,2012-04-20,2012.0,GC,1.0,on_fert_band,3.761248942,0.999280445,2.52879,0.935375,,,-2.93887,0.976311,41.7,6.1,,,4,111,2,1,spring
ARL,305.0,2012-04-20,2012.0,GC,1.0,off_fert_band,9.037777562,0.989905424,3.97931,0.981356,,,-2.37382,0.927301,39.6,6.2,,,4,111,2,1,spring
ARL,305.0,2012-04-20,2012.0,GC,1.0,on_fert_band,2.767457846,0.998835111,1.27147,0.966014,,,2.75939,0.873489,36.5,6.0,,,4,111,2,1,spring
ARL,308.0,2012-04-20,2012.0,GC,1.0,off_fert_band,6.571094261,0.958829022,2.68953,0.977297,,,-0.0110575,0.000856072,41.3,6.0,,,4,111,2,1,spring
ARL,308.0,2012-04-20,2012.0,GC,1.0,on_fert_band,-0.385764739,0.313431745,0.188885,0.866606,,,2.09806,0.943864,39.7,6.0,,,4,111,2,1,spring
ARL,309.0,2012-04-20,2012.0,GC,1.0,on_fert_band,5.914749974,0.98990821,2.67794,0.926401,,,-2.22268,0.977923,43.6,6.3,,,4,111,2,1,spring
ARL,309.0,2012-04-20,2012.0,GC,1.0,off_fert_band,5.205196454,0.97006773,1.85953,0.783489,,,3.89744,0.978957,40.2,6.2,,,4,111,2,1,spring
ARL,101.0,2012-04-27,2012.0,GC,1.0,off_fert_band,1.705868166,0.999870479,2.45777,0.961807,,,-1.4825,0.691132,30.5,6.7,,,4,118,2,1,spring
ARL,101.0,2012-04-27,2012.0,GC,1.0,on_fert_band,-0.545290416,0.64279352,0.891898,0.955455,,,-1.82533,0.958471,33.6,6.9,,,4,118,2,1,spring
ARL,104.0,2012-04-27,2012.0,GC,1.0,on_fert_band,3.645637315,0.952499462,3.38254,0.975025,,,-1.50166,0.976355,34.0,6.2,,,4,118,2,1,spring
ARL,104.0,2012-04-27,2012.0,GC,1.0,off_fert_band,2.980862194,0.810243935,4.18828,0.948256,,,-1.71909,0.994098,33.7,6.3,,,4,118,2,1,spring
ARL,105.0,2012-04-27,2012.0,GC,1.0,on_fert_band,2.894367106,0.789838743,1.41976,0.921855,,,0.395913,0.809218,30.0,6.5,,,4,118,2,1,spring
ARL,105.0,2012-04-27,2012.0,GC,1.0,off_fert_band,6.793795598,0.980736801,1.37511,0.999542,,,-4.55948,0.977507,26.4,6.1,,,4,118,2,1,spring
ARL,111.0,2012-04-27,2012.0,GC,1.0,on_fert_band,11.40919576,0.950174351,2.57783,0.983954,,,-2.83962,0.807333,30.7,6.4,,,4,118,2,1,spring
